@relation wine
@attribute At1 NUMERIC
@attribute At2 NUMERIC
@attribute At3 NUMERIC
@attribute At4 NUMERIC
@attribute At5 NUMERIC
@attribute At6 NUMERIC
@attribute At7 NUMERIC
@attribute At8 NUMERIC
@attribute At9 NUMERIC
@attribute At10 NUMERIC
@attribute At11 NUMERIC
@attribute At12 NUMERIC
@attribute At13 NUMERIC
@attribute Class {1.0,2.0,3.0}
@data
10.000003,0,60.962566,53.608247,19.565217,51.724136,35.232068,54.716976,32.492116,15.358361,50.406505,38.095236,11.126961,2.0
87.10527,18.577073,71.657756,74.226804,30.434783,62.758616,20.464134,75.471689,72.239751,100,7.317073,25.274727,27.24679,3.0
75.526309,18.577073,40.641704,27.83505,33.695652,73.103442,64.345995,15.094338,54.574137,41.126279,34.959351,75.457873,50.42796,1.0
32.105269,19.565217,40.641704,43.298968,10.869565,23.103446,35.654008,45.283018,38.485805,18.088738,42.276422,69.597073,16.547789,2.0
61.315784,35.968377,52.94117,48.453607,20.652174,14.482757,3.375527,45.283018,7.25552,36.860068,17.886178,43.956045,35.805991,3.0
80.789487,28.063242,50.267376,38.144329,38.043478,67.931033,62.869198,16.981132,62.145116,38.139932,62.601624,69.597073,87.874465,1.0
69.47369,10.079051,29.946521,38.144329,26.086957,38.620684,30.590717,35.849054,10.094638,21.501706,60.97561,43.589745,25.10699,2.0
34.21053,4.940711,31.550804,21.649484,71.73913,31.724135,31.856541,41.509431,74.132494,18.088738,47.154466,38.095236,33.666191,2.0
53.157904,17.984188,63.63636,38.144329,30.434783,50.689654,44.092829,30.188677,32.492116,25.341297,52.03252,45.421245,58.987161,1.0
60.263154,49.407113,54.54546,56.185566,23.913043,32.758617,8.860759,60.377354,26.498423,60.921502,5.691059,12.820514,26.533524,3.0
29.736844,17.193675,50.802135,62.886593,21.73913,27.586204,28.481014,56.603773,36.277602,9.982936,69.105693,36.263736,15.477889,2.0
43.947368,61.857703,55.614977,63.917525,33.695652,63.793098,46.624472,56.603773,48.580444,11.006826,57.72358,68.131873,13.195435,2.0
73.947376,66.798414,54.54546,45.876288,20.652174,28.275859,10.337552,66.037731,36.277602,65.955633,7.317073,13.553114,14.407989,3.0
38.94738,9.881423,47.593582,35.567009,16.304348,35.172412,5.063291,88.679245,26.498423,35.580203,21.95122,8.791209,26.533524,3.0
27.631583,26.482211,18.18182,35.567009,29.347826,43.103447,38.607597,24.5283,31.230284,17.235495,64.227639,61.904764,30.813124,2.0
71.842115,15.612647,71.657756,45.876288,67.391304,67.931033,50.632912,69.811318,29.652998,35.153585,62.601624,63.369964,68.259629,1.0
48.421054,76.482213,59.893048,56.185566,17.391304,24.827586,6.540084,64.15094,14.195584,54.351537,4.878051,21.611723,24.750357,3.0
57.894729,50.592882,49.197859,40.721648,30.434783,28.275859,10.337552,90.566036,46.056784,78.839594,6.504066,8.791209,28.31669,3.0
