@relation wine
@attribute At1 NUMERIC
@attribute At2 NUMERIC
@attribute At3 NUMERIC
@attribute At4 NUMERIC
@attribute At5 NUMERIC
@attribute At6 NUMERIC
@attribute At7 NUMERIC
@attribute At8 NUMERIC
@attribute At9 NUMERIC
@attribute At10 NUMERIC
@attribute At11 NUMERIC
@attribute At12 NUMERIC
@attribute At13 NUMERIC
@attribute Class {1.0,2.0,3.0}
@data
53.157904,19.565217,36.363633,9.278347,23.913043,59.999998,61.814347,7.547171,78.864358,50.511944,52.03252,60.073263,62.196862,1.0
58.157893,36.561262,80.748656,53.608247,52.173913,62.758616,49.578061,49.056599,44.479498,25.938568,45.528451,60.805864,32.596291,1.0
31.315802,10.869564,31.016045,43.298968,23.913043,47.586201,35.864979,49.056599,52.681387,12.116042,30.89431,64.102564,2.425107,2.0
34.999996,61.06719,54.54546,53.608247,19.565217,45.517238,12.236287,69.811318,19.873816,54.351537,6.504066,11.355314,17.261056,3.0
21.315799,2.964426,65.240637,38.144329,26.086957,42.068965,39.451478,16.981132,61.198737,15.102389,25.203254,66.300364,17.261056,2.0
71.315787,18.379445,47.593582,29.896904,52.173913,55.862063,54.008442,15.094338,38.170348,38.993173,35.772359,70.695973,55.777461,1.0
44.473696,19.960473,49.197859,61.340205,15.217391,13.793102,29.957806,66.037731,38.485805,17.235495,32.520324,42.124545,14.978602,2.0
52.631576,3.162055,18.716579,27.83505,17.391304,33.448276,35.654008,20.754716,33.12303,28.327644,57.72358,44.322345,8.131241,2.0
30.000008,14.031621,62.566842,43.298968,36.956522,31.379308,29.746836,60.377354,19.558359,14.249147,78.86179,35.164836,5.492154,2.0
59.736851,19.367589,41.711235,32.989689,26.086957,48.965518,39.029538,26.415096,29.652998,22.781571,43.902437,54.945055,71.825963,1.0
25.526322,15.21739,56.684495,58.762886,17.391304,16.206897,19.198312,69.811318,38.485805,19.795221,46.341459,50.549454,12.268188,2.0
72.105279,22.9249,70.588238,33.505155,48.913043,69.655169,51.687764,49.056599,40.063091,42.832766,52.845527,60.805864,78.245364,1.0
83.42105,20.158102,58.288772,23.711338,45.652174,78.965513,64.345995,39.622641,49.211359,46.672355,46.341459,57.875455,83.594864,1.0
66.578962,19.16996,50.802135,28.865982,51.086957,74.827586,62.236287,39.622641,60.88328,41.382254,38.21138,77.289382,36.875892,1.0
20.000005,27.470357,75.935826,92.268041,23.913043,39.655174,40.084389,84.905653,42.586752,14.675768,39.8374,42.857145,13.409415,2.0
44.473696,21.146243,44.919788,42.268036,17.391304,42.068965,46.202532,24.5283,42.902209,22.35495,55.284549,68.498173,31.098431,2.0
13.947386,25.889326,100,92.268041,53.26087,75.862068,100,64.15094,46.056784,40.273038,36.585366,88.644691,13.338088,2.0
67.105265,36.363633,71.122997,71.649484,38.043478,19.655169,10.548523,49.056599,35.646687,62.969282,21.138212,19.413918,33.666191,3.0
