@relation wine
@attribute At1 NUMERIC
@attribute At2 NUMERIC
@attribute At3 NUMERIC
@attribute At4 NUMERIC
@attribute At5 NUMERIC
@attribute At6 NUMERIC
@attribute At7 NUMERIC
@attribute At8 NUMERIC
@attribute At9 NUMERIC
@attribute At10 NUMERIC
@attribute At11 NUMERIC
@attribute At12 NUMERIC
@attribute At13 NUMERIC
@attribute Class {1.0,2.0,3.0}
@data
75.000006,84.980233,46.524064,48.453607,10.869565,0,0,50.943395,8.517351,30.887373,8.13008,2.197804,9.771755,3.0
74.736842,22.9249,77.005344,45.360822,40.217391,67.931033,55.485234,45.283018,42.586752,27.474403,62.601624,78.021982,45.435093,1.0
70.52632,22.134387,53.475929,30.927836,33.695652,56.20689,53.586501,26.415096,40.378552,21.501706,51.219512,100,53.994294,1.0
53.157904,100,41.176476,56.185566,17.391304,56.551718,48.73418,32.075473,50.473187,11.262798,20.325205,67.032964,7.275321,2.0
59.473687,24.3083,70.588238,31.958758,34.782609,69.655169,60.970465,33.962264,39.432177,40.273038,47.967483,57.509155,70.756063,1.0
25.526322,53.162055,34.224598,43.298968,18.478261,35.172412,27.42616,45.283018,46.056784,0,36.585366,65.201464,20.399429,2.0
56.052632,55.92885,42.245994,53.608247,34.782609,17.931033,4.43038,56.603773,28.075709,23.208191,9.7561,15.018314,39.372325,3.0
76.57894,19.565217,48.6631,35.051543,41.304348,65.517243,67.510549,35.849054,52.681387,65.017062,52.03252,67.032964,70.042796,1.0
100,17.78656,43.315511,17.525772,29.347826,62.758616,55.696204,30.188677,49.526816,33.447098,48.78049,57.875455,54.707561,1.0
15.263155,12.055336,71.657756,48.453607,26.086957,60.689653,54.430382,30.188677,65.615144,11.689421,39.024388,72.893773,28.673324,2.0
15.526319,24.703556,49.197859,38.144329,30.434783,70.344824,40.50633,7.547171,29.652998,16.808874,55.284549,61.904764,4.778887,2.0
47.894752,16.996047,62.032084,37.113397,27.173913,51.724136,42.827002,24.5283,33.12303,22.610922,49.593498,86.446891,52.56776,1.0
20.789472,14.426877,33.689839,52.577315,17.391304,34.482757,26.582279,32.075473,35.33123,5.716724,38.21138,75.457873,15.477889,2.0
35.26316,7.707509,42.780752,43.298968,18.478261,86.896548,58.227847,11.320755,46.056784,27.04778,60.162602,58.608055,10.128388,2.0
46.315793,38.142292,59.893048,58.762886,45.652174,17.241379,21.518988,20.754716,26.813881,81.228671,0,7.326009,14.407989,3.0
82.36842,34.980236,59.893048,48.453607,22.826087,24.137928,7.594937,58.490563,26.182966,71.843002,11.382115,16.117218,27.24679,3.0
71.052623,71.541502,48.128341,61.340205,19.565217,10.344826,2.742616,73.584899,23.343848,45.563139,24.390241,17.582418,17.261056,3.0
