@relation water2
@attribute At1 NUMERIC
@attribute At2 NUMERIC
@attribute At3 NUMERIC
@attribute At4 NUMERIC
@attribute At5 NUMERIC
@attribute At6 NUMERIC
@attribute At7 NUMERIC
@attribute At8 NUMERIC
@attribute At9 NUMERIC
@attribute At10 NUMERIC
@attribute At11 NUMERIC
@attribute At12 NUMERIC
@attribute At13 NUMERIC
@attribute At14 NUMERIC
@attribute At15 NUMERIC
@attribute At16 NUMERIC
@attribute At17 NUMERIC
@attribute At18 NUMERIC
@attribute At19 NUMERIC
@attribute At20 NUMERIC
@attribute At21 NUMERIC
@attribute At22 NUMERIC
@attribute At23 NUMERIC
@attribute At24 NUMERIC
@attribute At25 NUMERIC
@attribute At26 NUMERIC
@attribute At27 NUMERIC
@attribute At28 NUMERIC
@attribute At29 NUMERIC
@attribute At30 NUMERIC
@attribute At31 NUMERIC
@attribute At32 NUMERIC
@attribute At33 NUMERIC
@attribute At34 NUMERIC
@attribute At35 NUMERIC
@attribute At36 NUMERIC
@attribute At37 NUMERIC
@attribute At38 NUMERIC
@attribute Class {1,2,3,4,5}
@data
27109,0.4,7.6,158,276,142,64.8,1.5,1939,7.6,205,278,56.1,7.5,1878,7.6,102,269,123,65.9,1,1920,7.7,24,77,21,59,0.03,1959,50.2,55.8,86.7,76.5,71.4,84.8,72.1,85.2,98.3,1
33666,2.7,7.6,237,494,204,71.6,5.5,1187,7.7,241,224,65.2,5,1248,7.6,164,341,102,84.3,0.7,1350,7.6,24,71,57,88.2,0.05,1312,32,54.5,86,85.4,79.2,89.9,85.6,72.1,99.1,1
38568,0.7,8.2,233,506,204,66.7,6.7,1692,8.3,218,212,66,10.5,1614,7.9,188,355,88,81.8,0.2,1516,7.5,47,116,59,81.4,0.05,1483,13.8,58.5,98.6,75,67.3,79.8,77.1,71.1,99.3,1
32540,1,7.7,290,566,352,52.8,8,2540,7.7,314,358,54.2,8,2730,7.7,122,304,78,89.7,0.2,2750,7.9,18,116,15,93.3,0,2580,61.1,78.2,98.1,85.2,61.8,93.8,79.5,95.7,100,5
38731,1.2,7.5,200,402,184,64.1,2.8,1127,7.5,188,218,63.3,3,1140,7.5,122,233,90,77.8,0.2,1200,7.7,17,64,17,76.5,0,1317,35.1,58.7,95,86.1,72.5,91.5,84.1,90.8,100,1
60017,3.5,7.9,120,284,518,17.8,4,1048,7.9,115,460,20,4,1046,8,92,215,134,43.3,0.5,1135,8,11,88,20,54,0.01,1171,20,70.9,88.8,88,59.1,90.8,69,96.1,99.8,1
27711,1.5,7.4,342,400,232,64.7,4.5,1858,7.6,259,284,60.6,6,1907,7.6,133,278,86,72.1,0.2,1835,7.6,23,106,38,76.8,0.02,1511,48.6,69.7,96.7,82.7,61.9,93.3,73.5,83.6,99.6,1
36389,0.9,7.7,156,391,156,53.8,3.5,1358,7.8,161,172,58.1,3,1412,7.9,116,285,66,72.7,0.3,1460,7.9,11,86,14,50,0,1425,28,61.6,91.7,90.5,69.8,92.9,78,91,100,1
48086,5,8,247,444,166,73.5,3.5,1700,8.1,207,182,65.9,3.5,1724,7.9,176,360,112,76.8,0.4,1768,7.6,27,52,29,86.2,0,1764,15,38.5,88.6,84.7,85.6,89.1,88.3,82.5,100,1
47384,0.8,8.2,147,224,146,65.8,4,1758,8.2,118,138,66.7,1.4,1740,8,85,106,74,70.3,0.2,1712,7.7,15,23,18,82.2,0,1707,28,46.4,85.7,82.4,78.3,89.8,89.7,87.7,100,1
