@relation water2
@attribute At1 NUMERIC
@attribute At2 NUMERIC
@attribute At3 NUMERIC
@attribute At4 NUMERIC
@attribute At5 NUMERIC
@attribute At6 NUMERIC
@attribute At7 NUMERIC
@attribute At8 NUMERIC
@attribute At9 NUMERIC
@attribute At10 NUMERIC
@attribute At11 NUMERIC
@attribute At12 NUMERIC
@attribute At13 NUMERIC
@attribute At14 NUMERIC
@attribute At15 NUMERIC
@attribute At16 NUMERIC
@attribute At17 NUMERIC
@attribute At18 NUMERIC
@attribute At19 NUMERIC
@attribute At20 NUMERIC
@attribute At21 NUMERIC
@attribute At22 NUMERIC
@attribute At23 NUMERIC
@attribute At24 NUMERIC
@attribute At25 NUMERIC
@attribute At26 NUMERIC
@attribute At27 NUMERIC
@attribute At28 NUMERIC
@attribute At29 NUMERIC
@attribute At30 NUMERIC
@attribute At31 NUMERIC
@attribute At32 NUMERIC
@attribute At33 NUMERIC
@attribute At34 NUMERIC
@attribute At35 NUMERIC
@attribute At36 NUMERIC
@attribute At37 NUMERIC
@attribute At38 NUMERIC
@attribute Class {1,2,3,4,5}
@data
46540,1.2,7.8,132,297,176,45.5,1.5,1140,8,133,172,44.2,1.3,1072,7.9,98,246,84,61.9,0.3,1111,7.6,24,63,16,68.8,0,1014,26.3,51.2,80.8,75.5,74.4,81.8,78.8,90.9,100,5
37106,0.7,7.8,163,468,202,57.4,4.5,1525,8,319,292,58.9,7,1587,7.8,146,353,230,55.7,0.2,1328,7.7,14,100,19,86.8,0,1309,54.2,21.2,97.1,90.4,71.7,91.4,78.6,90.6,100,1
35263,0.3,8,201,434,118,73,5,1727,8.1,300,214,72.9,4.5,1700,8.1,131,317,114,66.7,0.9,1749,7.7,12,55,18,66.7,0.01,1750,56.3,46.7,80,90.8,82.6,94,87.3,84.7,99.8,1
39804,4.85,7.9,209,416,196,68.4,5,1711,7.9,277,250,69.6,7,1774,7.9,138,348,110,78.2,0.6,1845,7.7,16,107,19,77.8,0.02,1813,50.2,56,91.4,88.4,69.3,92.3,74.3,90.3,99.6,1
59184,0.6,7.5,94,189,120,56.7,1.5,1200,7.5,122,144,51.4,1.3,1206,7.6,71,203,54,66.7,0.2,1260,7.5,13,33,10,68,0,1353,41.8,62.5,84,81.7,83.7,86.2,82.5,91.7,100,1
40915,2,8,244,406.89,194,50.5,3.2,1885,8,206.2,284,42.3,2.8,2080,7.9,141,251,140,52.9,0.6,2020,8,13,63,16,62.5,0.02,2030,39.08,50.7,78.6,90.8,74.9,94.7,77.85,91.8,99.4,5
43291,0.8,7.7,215,447,164,61,5.5,1177,7.7,258,256,53.1,5,1207,7.9,141,285,86,69.8,0.2,1324,7.7,19,75,32,77.1,0.02,1390,45.3,66.4,96,86.5,73.7,91.2,83.2,80.5,99.6,1
44548,1.4,7.9,218,272,216,40.7,4.59,1360,7.9,261,236,44.1,5.03,1328,7.8,154,213,100,64,0.41,1427,7.7,16,101,18,84.4,0.03,1514,41,57.6,90.55,89.6,52.6,92.7,62.9,91.7,99.08,5
34461,6.2,8.1,222,662,252,68.3,6.5,1734,8.2,250,310,7.1,7.3,1733,8.2,175,346,104,78.8,0.6,1789,7.8,24,86,25,96,0.07,1821,30,66.5,91.7,86.3,75.1,89.2,87,90.1,99,1
41115,6,7.8,188.71,552,262,64.1,5,1603,7.8,206.2,320,67.5,6.5,1608,7.8,192,376,122,72.1,0.4,1668,7.5,21,76,26,84.6,0.05,1703,39.08,61.9,93.8,89.1,79.8,89.01,86.2,90.1,99,1
42217,8.5,7.5,138,333,240,55,3.8,1087,7.5,153,184,67.4,4,1109,7.5,108,194,82,85.4,0.4,1136,7.1,16,62,17,94.1,0,1223,29.4,55.4,91.3,85.2,68,88.4,81.4,92.9,100,1
34441,8.2,8.1,199,486,240,68.3,9,1605,8.1,259,352,68.2,13.2,1684,8.1,168,394,116,75.9,0.4,1679,7.7,31,147,28,85.7,0.03,1770,35.1,67,97,81.5,62.7,84.4,69.8,88.3,100,1
53530,1.5,8.1,132,336,330,37,6,1234,8,161,264,37.9,5.5,1327,7.9,126,316,80,75,0.7,1257,7.7,13,68,13,69.2,0.02,1229,21.7,69.7,88.2,89.7,78.5,90.2,79.8,96.1,99.7,5
35760,1.77,7.6,115,295,182,51.6,25,1400,7.7,125,166,55.4,19,1418,7.8,98,225,84,81,1,1396,7.7,19,58,19,84.2,0.05,1316,21.6,49.4,94.7,80.6,74.2,83.5,80.3,89.6,99.8,1
30244,0.86,7.6,224,337,146,69.9,3.5,1146,7.8,240,168,71.4,4,1144,7.9,134,302,92,78.3,0.4,1205,7.7,17,78,8,80,0.01,1283,44.2,45.2,90,87.3,74.2,92.4,76.9,94.5,99.7,1
31849,5.45,8,330,511,184,79.3,4,2110,8,372,212,74.5,5,2100,8.1,204,396,128,78.1,1,2050,7.7,34,119,33,80.8,0.01,2270,45.2,39.6,80,83.3,69.9,89.7,76.7,82.1,99.8,1
39715,0.6,7.8,241,539,212,70.8,5.5,1338,7.9,232,218,67,5.5,1403,7.9,160,353,92,80.4,0.2,1427,7.8,20,81,13,92.3,0,1364,31,57.8,96.4,87.5,77.1,91.7,85,93.9,100,1
32974,2.6,8.1,311,420,208,69.2,6.5,1474,8.2,258,198,72.7,3.3,1559,8.1,189,309,152,71.1,3,1402,7.8,18,41,12,83.3,0.02,1466,26.7,23.2,7.7,90.5,86.7,94.2,90.2,94.2,99.7,1
39445,0.75,8.1,187,488,216,55.6,6.5,2440,8,191,252,49.2,5,2340,7.9,130,304,66,72.7,0.2,2230,8,28,80,21,70.5,0,2190,31.9,73.8,96,78.5,73.7,85,83.6,90.3,100,1
35023,3.5,7.9,205,588,192,65.6,4.5,2430,7.8,236,268,73.1,8.5,2280,7.8,158,376,96,77.1,0.4,2060,7.6,20,104,20,96.7,0,1840,33.1,64.2,95.3,87.3,72.3,90.2,82.3,89.6,100,1
32484,0.9,7.5,188.71,388,170,76.5,3.5,1130,7.6,206.2,178,75.3,4,1149,7.7,164,310,102,82.4,0.2,1212,7.5,22,89,33,90.9,0.05,1274,39.08,42.7,96.3,86.6,71.3,89.01,77.1,80.6,98.6,1
31780,0.14,7.7,175,457,262,60.3,4.5,1700,7.7,206.2,356,60,7.5,1698,7.8,122.34,251,98,81.6,0.3,1659,7.8,25,64,24,87.5,0.08,1631,39.08,72.5,96,83.44,74.5,85.7,86,90.8,98.3,1
38809,0.75,7.6,179,432,1228,22.8,36,1889,7.6,174,1692,21.3,46,1906,7.7,99,227,90,66.7,0.5,1962,7.6,18,71,17,82.4,0.02,1932,43.1,94.7,98.9,81.8,68.7,89.9,83.6,98.6,99.9,3
34294,5.9,7.6,146,438,174,67.8,4.59,1102,7.6,182,332,55.4,5.03,1093,7.5,123,340,112,64.3,0.41,1239,7.5,23,78,16,87.5,0.03,1213,32.4,66.3,90.55,81.3,77.1,84.2,82.2,90.8,99.08,1
35825,1.4,8,111,371,142,73.2,4.5,1440,8,157,154,71.4,4,1437,7.9,109,197,80,90,0.2,1560,7.7,14,131,24,83.3,0.01,1757,30.6,48.1,96.3,87.2,33.5,87.4,64.7,83.1,99.8,1
27968,1.6,8,202,471,242,63.6,5.5,1158,8,278,340,60.6,6.5,1160,7.9,118,277,106,73.6,0.4,1205,7.7,25,83,21,76.2,0,1285,57.6,68.8,94.6,78.8,70,87.6,82.4,91.3,100,5
35400,0.7,7.6,156,364,194,63.9,5.5,1680,7.6,169,222,55.9,5,1637,7.6,89,274.04,86,60.5,0.3,1537,7.7,21,64,18,77.8,0.01,1840,47.3,61.3,94,76.4,67.67,86.5,82.4,90.7,99.8,1
37226,0.8,7.6,177,388,170,69.4,4,1147,7.7,166,198,66.7,3,1126,7.6,89,208,68,82.4,0.2,1105,7.7,14,74,16,87.5,0,1170,46.4,65.7,93.3,84.3,64.4,92.1,80.9,90.6,100,1
28492,2.6,7.5,124,281,172,66.3,3,1520,7.5,117,172,65.1,2,1479,7.6,77,221,90,68.9,0,1535,7.8,12,75,20,86,0.02,1549,34.2,47.7,99,84.4,66.1,90.3,73.3,88.4,99.3,1
33085,0.82,7.7,185,518,202,66.3,3,2350,7.8,345,210,67.6,3.5,2120,7.7,156,355,98,83.7,0.5,2080,7.7,14,65,13,92.3,0.02,1568,54.8,53.3,87.1,91,81.7,92.4,87.5,93.6,99.3,1
29660,1.99,8,223,521,208,74,5.3,1585,8,230,200,75,5,1555,7.9,158,327,120,75,1.1,1597,9.7,21,87.29,17,88.2,0.02,1708,31.3,40,78,86.7,67.67,90.6,77.85,91.8,100,1
32454,3.42,7.4,148,545,202,72.3,4.59,1337,7.4,138,272,62.5,5.03,1334,7.4,67,200,76,88.9,0.41,1283,7.4,11,163,11,90.9,0.03,1365,51.4,72.1,90.55,83.6,18.5,92.6,70.1,94.6,99.08,5
31592,4.7,8,217,549,248,67.7,7,1370,8.1,255,224,67.9,5,1483,8.1,154,406,102,80.4,0.6,1410,7.8,15,74,13,86.2,0,1406,39.6,54.5,88,90.3,81.8,93.1,86.5,94.8,100,1
