@relation water2
@attribute At1 NUMERIC
@attribute At2 NUMERIC
@attribute At3 NUMERIC
@attribute At4 NUMERIC
@attribute At5 NUMERIC
@attribute At6 NUMERIC
@attribute At7 NUMERIC
@attribute At8 NUMERIC
@attribute At9 NUMERIC
@attribute At10 NUMERIC
@attribute At11 NUMERIC
@attribute At12 NUMERIC
@attribute At13 NUMERIC
@attribute At14 NUMERIC
@attribute At15 NUMERIC
@attribute At16 NUMERIC
@attribute At17 NUMERIC
@attribute At18 NUMERIC
@attribute At19 NUMERIC
@attribute At20 NUMERIC
@attribute At21 NUMERIC
@attribute At22 NUMERIC
@attribute At23 NUMERIC
@attribute At24 NUMERIC
@attribute At25 NUMERIC
@attribute At26 NUMERIC
@attribute At27 NUMERIC
@attribute At28 NUMERIC
@attribute At29 NUMERIC
@attribute At30 NUMERIC
@attribute At31 NUMERIC
@attribute At32 NUMERIC
@attribute At33 NUMERIC
@attribute At34 NUMERIC
@attribute At35 NUMERIC
@attribute At36 NUMERIC
@attribute At37 NUMERIC
@attribute At38 NUMERIC
@attribute Class {1,2,3,4,5}
@data
44150,1,8.1,188.71,516,164,75.6,3.5,1548,8.1,206.2,232,74.1,5.5,1545,7.9,122.34,326,94,93.6,0.6,1415,7.6,19.98,113,37,95.5,0.02,1409,39.08,59.5,90,83.44,65.3,89.01,78.1,77.4,99.4,1
42859,12.5,7.8,161,326,268,44.8,4.5,1570,7.9,152,208,54.8,5,1640,7.9,76,173,74,64.9,0.2,1690,7.8,23,111,26,76.9,0,1720,50,64.4,97,69.7,35.8,85.7,66,90.3,100,5
44207,1.2,7.8,70,188,112,48.2,1.3,1031,7.9,125,194,41.2,2.8,1074,7.9,44,101,54,61.1,0.2,1064,8,12,53,16,62.5,0,1056,64.8,72.2,94.5,72.7,47.5,82.9,71.8,85.7,100,1
36909,1.3,7.6,172,394,226,51.3,5.5,1324,7.6,197,302,47,4,1306,7.7,119,257,92,65.2,0.2,1368,7.8,14,74,13,70.8,0,1418,39.6,69.5,96.3,88.2,71.2,91.9,81.2,94.2,100,5
32317,0.7,7.5,166,393,242,55.4,5.3,958,7.7,206,256,54.7,5.5,982,7.7,135,260,96,79.2,0.4,1038,7.6,13,27,10,90,0,1082,34.5,62.5,93.6,90.4,89.6,92.2,93.1,95.9,100,5
28209,1.2,7.9,319,532,250,71.2,6.5,1379,8,331,254,69.3,6,1453,8,150,299,92,73.9,0.4,1431,7.7,15,60,14,85.7,0.02,1508,54.7,63.8,93.3,90,79.9,95.3,88.7,94.4,100,1
35789,1.5,7.4,316,533,264,54.5,5.5,1361,7.4,352,344,46.5,6.5,1453,7.5,190,361,160,51.3,1.5,1518,7.5,39,150,54,74.1,0.1,1506,46,53.5,76.9,79.5,58.4,87.7,71.9,79.5,98.2,1
45772,2,7.9,162,348,156,64.1,3.1,1340,7.9,228,252,65.1,5.9,1398,7.9,135,329,110,78.2,0.7,1377,7.7,17,127,14,92.9,0,1423,40.8,56.3,88.1,87.4,61.4,89.5,63.5,91,100,1
32208,0.54,7.6,145,258,194,58.8,2.5,985,7.6,161,204,55.9,2.8,991,7.7,94,196,82,70.7,0.2,1050,7.8,19,55,20,88,0.01,1124,41.6,59.8,92.9,79.8,71.9,86.9,78.7,89.7,99.6,1
34579,2.5,8.3,261,592,216,71.3,7.5,1663,8.4,244,256,72.7,8,1685,8.2,163,400,170,77.6,3.5,1680,7.8,24,47,13,92.9,0.02,1848,33.2,33.6,56.3,85.3,88.3,90.8,92.1,94,99.7,1
