@relation water2
@attribute At1 NUMERIC
@attribute At2 NUMERIC
@attribute At3 NUMERIC
@attribute At4 NUMERIC
@attribute At5 NUMERIC
@attribute At6 NUMERIC
@attribute At7 NUMERIC
@attribute At8 NUMERIC
@attribute At9 NUMERIC
@attribute At10 NUMERIC
@attribute At11 NUMERIC
@attribute At12 NUMERIC
@attribute At13 NUMERIC
@attribute At14 NUMERIC
@attribute At15 NUMERIC
@attribute At16 NUMERIC
@attribute At17 NUMERIC
@attribute At18 NUMERIC
@attribute At19 NUMERIC
@attribute At20 NUMERIC
@attribute At21 NUMERIC
@attribute At22 NUMERIC
@attribute At23 NUMERIC
@attribute At24 NUMERIC
@attribute At25 NUMERIC
@attribute At26 NUMERIC
@attribute At27 NUMERIC
@attribute At28 NUMERIC
@attribute At29 NUMERIC
@attribute At30 NUMERIC
@attribute At31 NUMERIC
@attribute At32 NUMERIC
@attribute At33 NUMERIC
@attribute At34 NUMERIC
@attribute At35 NUMERIC
@attribute At36 NUMERIC
@attribute At37 NUMERIC
@attribute At38 NUMERIC
@attribute Class {1,2,3,4,5}
@data
29816,0.48,8.5,251,447,152,65.8,3.3,1770,8.4,312,204,62.7,3.8,2880,8.2,192,439,108,72.2,0.9,2490,7.9,26,158,30,82.7,0.01,2240,38.5,47.1,76,86.5,64,89.6,64.7,80.3,99.7,1
38620,0.7,7.5,95,302,176,59.1,3,1120,7.6,94,152,59.2,2.5,1145,7.6,48,316,107,64.5,1.2,1155,7.7,19,59,15,77.3,0.05,1040,48.9,29.6,52,60.4,81.3,80,80.5,91.5,98.3,1
40585,0.8,8.3,230,524,158,70.9,5,1178,8.2,285,186,66.7,5.5,1217,8.1,117,304,82,70.7,0.3,1178,7.8,13,92,13,73.1,0.02,1114,58.9,55.9,94.5,88.9,69.7,94.3,82.4,91.8,100,1
27642,1.8,7.5,69,170,180,40,1.4,810,7.5,130,310,40,3,827,7.5,83,124,80,65,0.3,866,7.5,13,39,14,92.9,0.02,949,36.2,74.2,90,84.3,68.5,81.2,77.1,92.2,98.6,1
32157,0.6,8.1,243,572,200,78,4.5,2280,8.2,289,240,74.2,6.5,2340,8,166,372,98,81.6,0.2,2320,7.8,13,86,13,89.2,0,2230,42.6,59.2,97.7,92.2,76.9,94.7,85,93.5,100,1
34719,9,7.7,173,388,322,50.3,5.5,1196,7.7,167,210,61.9,4.5,1171,7.8,149,319,110,76.4,0.7,1234,7.6,20,108,24,79.2,0.02,1250,10.8,47.6,84.4,86.6,66.1,88.4,72.2,92.5,99.6,1
38655,1.5,7.9,179,344,172,65.1,3.8,1379,8,148,156,74.4,4,1412,7.8,155,301,86,81.4,0.2,1426,7.5,26,97,35,82.9,0,1470,39.08,44.9,95,83.2,67.8,85.5,71.8,79.7,100,1
44085,4.2,7.4,183,325,228,47.4,3.5,1229,7.7,125,218,50.5,3,1254,7.8,97,368,136,57.4,1.3,1343,7.7,15,94,18,77.8,0,1382,22.4,37.6,56.7,84.5,74.5,91.8,71.1,92.1,100,5
37226,4,7.5,182,605,208,75,5,1672,7.5,155,230,61.7,5,1734,7.5,129,308,82,75.6,0.1,1693,7.6,26,86,21,70.5,0.01,1603,16.8,64.3,98,79.8,72.1,85.7,85.8,89.9,100,1
36922,0.5,7.6,122,338,174,62.1,5,1035,7.7,135,216,56.5,5.5,1030,7.7,108,244,68,79.4,0.2,1099,7.6,14,44,12,82.3,0.02,1140,20,68.5,97.3,87,82,88.5,87,93.1,99.6,1
