@relation water2
@attribute At1 NUMERIC
@attribute At2 NUMERIC
@attribute At3 NUMERIC
@attribute At4 NUMERIC
@attribute At5 NUMERIC
@attribute At6 NUMERIC
@attribute At7 NUMERIC
@attribute At8 NUMERIC
@attribute At9 NUMERIC
@attribute At10 NUMERIC
@attribute At11 NUMERIC
@attribute At12 NUMERIC
@attribute At13 NUMERIC
@attribute At14 NUMERIC
@attribute At15 NUMERIC
@attribute At16 NUMERIC
@attribute At17 NUMERIC
@attribute At18 NUMERIC
@attribute At19 NUMERIC
@attribute At20 NUMERIC
@attribute At21 NUMERIC
@attribute At22 NUMERIC
@attribute At23 NUMERIC
@attribute At24 NUMERIC
@attribute At25 NUMERIC
@attribute At26 NUMERIC
@attribute At27 NUMERIC
@attribute At28 NUMERIC
@attribute At29 NUMERIC
@attribute At30 NUMERIC
@attribute At31 NUMERIC
@attribute At32 NUMERIC
@attribute At33 NUMERIC
@attribute At34 NUMERIC
@attribute At35 NUMERIC
@attribute At36 NUMERIC
@attribute At37 NUMERIC
@attribute At38 NUMERIC
@attribute Class {1,2,3,4,5}
@data
37226,0.2,7.8,114,273,138,73.9,3.8,1870,7.8,128,172,75.6,3.5,1929,7.8,80,192,68,82.4,0.2,1835,7.5,14,73,14,88.6,0.01,1809,37.5,60.5,95.7,82.5,62,87.7,73.3,89.9,99.7,1
29990,7.6,7.9,204,469,212,75.5,5,1145,7.9,252,246,70.7,6.5,1186,8.1,154,257,90,84.4,0.3,1172,7.8,18,20,14,88.6,0,1249,38.9,63.4,96.2,88.3,92.2,91.2,95.7,93.4,100,1
32363,0.1,7.6,159,310,146,68.5,1.6,1096,7.6,131,166,71.1,1.7,1083,7.7,98,169,64,84.4,0.2,1112,7.9,21,59,16,70,0.01,1083,25.2,61.4,91.2,78.6,65.1,86.8,81,89,99.4,1
49174,0.65,7.9,188,434,126,66.7,2.5,2450,8.1,159,156,67.9,3,2680,8.2,139,422,90,71.1,1,2950,7.8,22,155,28,78.6,0.05,2740,12.6,42.3,66.7,84.2,63.3,88.3,64.3,77.8,98,1
33623,0.5,7.8,135,366,240,49.2,4.5,1344,7.7,149,354,45.8,7,1274,7.7,112,220,110,60,0.2,1182,7.8,29,84,23,81.7,0.02,1144,24.8,68.9,97.1,74.1,61.8,78.5,77,90.4,99.6,5
52258,1.5,8.4,195,246,172,60.5,3.5,1631,8.3,184,156,69.2,3.8,1564,8.2,92,165,86,72.1,0.4,1626,8,11,42,18,77.8,0.01,1635,50,44.9,89.3,88,74.5,94.4,82.9,89.5,99.7,1
31494,2.5,8,290,459,228,71.9,7.5,1684,8,449,298,71.1,9,1746,8,187,352,112,91.1,0.6,1828,7.8,28,57,22,87.3,0.02,1740,58.4,62.4,93.3,85,83.8,90.3,87.6,90.4,100,1
40552,2,7.9,200,395,178,71.9,3.5,1038,7.8,190,156,71.8,3.5,1063,7.7,127,281,102,72.5,0.7,1023,7.6,17,75,19,89.5,0.02,1148,33.2,34.6,80,86.6,73.3,91.5,81,89.3,99.4,1
26871,2,7.3,139,369,284,49.3,4,991,7.5,161,312,44.9,4,986,7.3,87,198,90,62.2,0.1,978,7.5,19,116,34,72.9,0.02,1070,46,71.2,97.5,78.2,41.4,86.3,68.6,88,99.5,5
36470,4.5,7.8,227,526,212,68.9,4.5,1542,7.8,232,240,75,5.5,1583,7.8,172,411,106,83,0.2,1607,7.4,30,99,41,85.4,0.05,1395,25.9,55.8,96.4,82.6,75.9,86.8,81.2,80.7,98.9,1
