@relation water2
@attribute At1 NUMERIC
@attribute At2 NUMERIC
@attribute At3 NUMERIC
@attribute At4 NUMERIC
@attribute At5 NUMERIC
@attribute At6 NUMERIC
@attribute At7 NUMERIC
@attribute At8 NUMERIC
@attribute At9 NUMERIC
@attribute At10 NUMERIC
@attribute At11 NUMERIC
@attribute At12 NUMERIC
@attribute At13 NUMERIC
@attribute At14 NUMERIC
@attribute At15 NUMERIC
@attribute At16 NUMERIC
@attribute At17 NUMERIC
@attribute At18 NUMERIC
@attribute At19 NUMERIC
@attribute At20 NUMERIC
@attribute At21 NUMERIC
@attribute At22 NUMERIC
@attribute At23 NUMERIC
@attribute At24 NUMERIC
@attribute At25 NUMERIC
@attribute At26 NUMERIC
@attribute At27 NUMERIC
@attribute At28 NUMERIC
@attribute At29 NUMERIC
@attribute At30 NUMERIC
@attribute At31 NUMERIC
@attribute At32 NUMERIC
@attribute At33 NUMERIC
@attribute At34 NUMERIC
@attribute At35 NUMERIC
@attribute At36 NUMERIC
@attribute At37 NUMERIC
@attribute At38 NUMERIC
@attribute Class {1,2,3,4,5}
@data
30488,0.21,7.5,152,300,132,69.7,4.59,1073,7.4,150,210,60,5.03,1081,7.4,93,233,64,84.4,0.41,1188,7.3,17,55,18,80,0.03,1224,39.08,69.5,90.55,81.7,76.4,89.01,81.7,86.4,99.08,1
35990,1.7,7.9,142,272,160,56.3,2,1543,7.9,154,174,57.5,3,1485,7.8,114,295,86,74.4,0.3,1560,7.6,18,74,14,85.7,0,1565,26,50.6,90,84.2,74.9,87.3,72.8,91.3,100,1
36708,3.9,7.8,196,403,200,66,5,1592,7.8,301,236,69.5,4.5,1478,7.7,130,288,74,83.8,0.2,1469,7.6,12,54,14,85.7,0.01,1483,56.8,68.6,95.6,90.8,81.3,93.9,86.6,93,99.8,1
47489,0.23,7.6,135,297,164,57.3,2.5,1000,7.7,175,196,53.1,2.5,1040,7.8,99,250,98,59.2,0.5,968,7.7,20,43,18,83.3,0.02,906,43.4,50,80,79.8,82.8,85.2,85.5,89,99.2,1
34886,0.85,7.6,178,310,198,66.7,5.5,1560,7.7,156,178,66.3,3,1549,7.7,100,248,74,89.2,0.1,1590,7.7,13,62,22,81.8,0.01,1635,35.9,58.4,96.7,87,75,92.7,80,88.9,99.8,1
37643,1.25,7.7,145,382,168,54.8,3.5,1814,7.9,180,184,56.5,3,1820,8.1,113,271,70,65.7,0.2,1893,8.1,15,88,15,73.3,0,1879,37.2,62,95,86.7,67.5,89.7,77,91.1,100,1
36107,5,7.7,215,489,334,40.7,6,1613,7.6,206.2,304,53.9,8,1557,7.6,181,350,90,71.1,0.4,1596,7.5,17,162,18,66.7,0,1606,39.08,70.4,95.6,90.6,53.7,92.1,66.9,94.6,100,1
36010,1,7.9,189,424,264,55.3,4,2270,7.8,190,318,54.7,5.5,2310,8,119,250,90,66.7,0.4,2130,8,16,68,21,78.1,0,1848,37.4,71.7,93.6,86.6,72.8,91.5,84,92,100,5
40585,0.35,8,66,152,364,20.3,1.6,1403,8.1,86,412,19.9,2.5,1383,8,49,114,80,46.3,0.2,1407,8,11,24,12,76.7,0,1433,43,80.6,92,77.6,78.9,83.3,84.2,96.7,100,5
32217,2,7.7,365,370,172,62.8,4.59,928,7.6,296,196,55.1,5.03,936,7.7,93,135,80,77.5,0.41,940,7.6,13,70,16,87.5,0.03,940,68.6,59.2,90.55,86,48.1,96.4,81.1,90.7,99.08,5
34917,8.5,7.5,156,311,226,67.3,4.59,1075,7.5,256,204,64.7,5.03,1116,7.5,112,182,92,76.1,0.41,1141,7.4,12,29,15,80,0.03,1170,56.3,54.9,90.55,89.3,84.1,92.3,90.7,93.4,99.08,1
36495,0.12,7.7,213,627,2008,17.9,4.59,1257,7.6,308,1692,17.7,5.03,1335,7.5,97,226,66,69.7,0.41,1255,7.6,16,119,13,76.9,0.03,1289,68.5,96.1,90.55,83.5,47.3,92.5,81,99.4,99.08,3
45779,3,7.8,188.71,376,194,68.5,5,2020,7.8,206.2,276,62.3,7.5,2390,7.7,122.34,326,82,68.3,0.4,2260,7.6,19.98,66,15,93.3,0,2400,39.08,70.3,94.7,83.44,79.8,89.01,82.4,92.3,100,1
40295,0.9,7.7,238,327,194,60.8,5.9,1725,7.8,210,252,54.7,6.3,1724,7.8,101,233,82,68.3,0.3,1736,7.7,12,79,14,91.4,0.01,1673,51.9,67.5,95.2,88.1,66.1,95,75.8,92.8,99.8,1
27931,2.2,7.5,296,455,278,78.4,4.3,1439,7.6,255,182,69.2,3.9,1436,7.6,131,318,84,83.3,0.3,1421,7.6,15,106,13,96.2,0,1423,48.6,53.8,92.3,88.5,66.7,94.9,76.7,95.3,100,1
34647,1,7.5,193,342,260,50.8,3,985,7.6,230,424,44.3,6,1008,7.6,132,223,174,50.6,0.4,992,7.3,19.98,87.29,22,69.1,0,1218,42.6,59,93.3,83.44,67.67,89.01,77.85,91.5,100,5
44038,0.43,8,138,304,136,66.2,2.5,2050,8.1,144,168,60.7,3,2000,8.2,107,243,68,88.2,0.2,1852,7.8,17,106,20,85,0.01,1854,25.7,59.5,93.3,84.1,56.4,87.7,65.1,85.3,99.6,1
29448,0.13,8.2,192,357,286,79,4.59,2950,7.9,127,230,70.4,5.03,2980,7.7,158,304,92,89.1,0.41,2780,7.6,27,77,31,87.7,0.03,2790,39.08,60,90.55,82.9,74.7,85.9,78.4,89.2,99.08,1
34903,2.22,7.7,227,416,218,62.4,5.4,1335,7.7,257,416,50,8,1350,7.7,156,311,134,59.7,0.5,1368,7.7,25,86,16,75,0.01,1379,39.3,67.8,93.8,84,72.3,89,79.3,92.7,99.8,1
57606,5.35,7.7,208,298,260,37.7,4,1236,7.8,245,284,46.5,5,1285,7.8,90,220,124,48.4,0.3,1416,7.9,19,87.29,14,82.9,0,1611,63.3,56.3,94,78.9,67.67,90.9,77.85,94.6,100,5
36911,6,7.7,300,610,452,45.1,8,1313,7.7,375,556,43.9,10,1312,7.7,150,323,212,49.1,2.5,1238,7.7,21,116,14,85.7,0.02,1133,60,61.9,75,86,64.1,93,81,96.9,99.8,5
35178,3.7,7.7,159,396,154,68.8,3,1440,7.8,159,184,67.4,3.1,1520,7.8,105,295,82,83,0.2,1415,7.7,23,109,30,86.7,0.01,1479,34,55.4,93.5,78.1,63.1,85.5,72.5,80.5,99.7,1
31059,3.5,7.8,202,431,200,74,5,1302,7.7,199,184,78.3,4.7,1307,7.6,124,269,96,75,0.4,1334,7.4,17,63,20,85,0.05,1473,37.7,47.8,91.5,86.3,76.6,91.6,85.4,90,99,1
51520,2,7.3,156,336,192,62.5,5.5,1320,7.8,158,184,56.5,4,1327,7.6,79,198,92,63,0.3,1175,7.9,15,59,19,78.9,0.01,1054,50,50,92.5,81,70.2,90.4,82.4,90.1,99.8,1
37226,1.1,7.6,149,412,208,57.7,4.3,1593,7.7,127,194,60.8,4,1710,7.7,96,298,128,65.6,0.7,1606,7.8,17,110,22,83.6,0,1602,24.4,34,82.5,82.3,63.1,88.6,73.3,89.4,100,1
43377,6.5,7.6,176,200,176,50,3,859,7.6,149,172,51.2,2,860,7.6,90,178,76,65.8,0.2,926,7.7,13,45,18,68.9,0.02,1020,39.6,55.8,90,85.6,74.7,92.6,77.5,89.8,99.3,5
45512,2.6,7.9,89,176,166,36.1,1.2,1059,8,97,218,32.1,1.9,1145,8,72,161,86,48.8,0.2,1060,7.7,15,87.29,14,85.7,0,1046,25.8,60.6,92.1,79.2,67.67,83.1,77.85,91.6,100,1
35374,4.4,7.9,175,566,292,57.5,7.5,1268,8,196,406,49.8,9.2,1358,7.9,139,327,110,72.7,0.5,1385,7.8,20,80,16,87.5,0.05,1234,29.1,72.9,95.1,85.6,75.5,88.6,85.9,94.5,99.3,1
