@relation water2
@attribute At1 NUMERIC
@attribute At2 NUMERIC
@attribute At3 NUMERIC
@attribute At4 NUMERIC
@attribute At5 NUMERIC
@attribute At6 NUMERIC
@attribute At7 NUMERIC
@attribute At8 NUMERIC
@attribute At9 NUMERIC
@attribute At10 NUMERIC
@attribute At11 NUMERIC
@attribute At12 NUMERIC
@attribute At13 NUMERIC
@attribute At14 NUMERIC
@attribute At15 NUMERIC
@attribute At16 NUMERIC
@attribute At17 NUMERIC
@attribute At18 NUMERIC
@attribute At19 NUMERIC
@attribute At20 NUMERIC
@attribute At21 NUMERIC
@attribute At22 NUMERIC
@attribute At23 NUMERIC
@attribute At24 NUMERIC
@attribute At25 NUMERIC
@attribute At26 NUMERIC
@attribute At27 NUMERIC
@attribute At28 NUMERIC
@attribute At29 NUMERIC
@attribute At30 NUMERIC
@attribute At31 NUMERIC
@attribute At32 NUMERIC
@attribute At33 NUMERIC
@attribute At34 NUMERIC
@attribute At35 NUMERIC
@attribute At36 NUMERIC
@attribute At37 NUMERIC
@attribute At38 NUMERIC
@attribute Class {1,2,3,4,5}
@data
27098,2.12,8.2,197,497,254,73.2,6.5,1685,8.2,206.2,274,66.4,7,1681,8.2,130,307,132,72.7,1.3,1697,7.7,10,70,19,73.7,0,1894,39.08,51.8,82.1,92.3,77.2,94.9,85.9,92.5,100,1
48333,0.7,7.6,132,188,172,46.5,2.5,940,7.7,210,192,46.9,2,924,7.7,102,176,76,78.9,0.1,1001,7.7,17,78,21,87.6,0,1107,51.4,60.4,95,83.3,55.7,87.1,58.5,87.8,100,5
34525,0.77,7.8,312,576,224,67.9,5.5,1300,7.9,324,268,71.6,5,1280,7.9,157,306,92,73.9,0.4,1248,7.8,23,74,23,81.2,0,1251,51.5,65.7,93,85.4,75.8,92.6,87.2,89.7,100,1
39566,5.8,7.7,192,416,236,57.6,4.5,1447,7.6,296,384,54.2,7,1445,7.7,148,270,108,66.7,0.4,1380,7.8,13,78,14,71.4,0.02,1408,50,71.9,94.3,91.2,71.1,93.2,81.3,94.1,99.6,5
34045,1.32,8,129,506,178,62.9,4,1180,8,109,186,62.4,3.8,1148,7.9,126,269,90,77.8,0.4,1255,7.6,22,54,19,89.5,0.01,1406,39.08,51.6,90.8,82.5,79.9,82.9,89.3,89.3,100,1
33999,1.5,7.5,191,488,506,35.6,6.3,2590,7.4,172,580,41.4,7.8,2530,7.6,102,267,84,71.4,0.2,2670,7.7,22,110,33,75,0.08,2850,40.7,85.5,97.4,78.4,58.8,88.5,77.5,93.5,98.8,5
47338,2,8.1,69,126,138,39.1,1.4,882,8.1,150,180,38.9,1.9,902,8.2,53,100,62,59.7,0.1,920,8,8,52,9,88.9,0,902,64.7,65.6,94.7,84.9,48,88.4,58.7,93.5,100,1
42109,0.7,7.8,159,350,150,69.3,3,1304,7.8,192,160,75,2.5,1206,7.7,166,312,82,75.6,0.2,1276,7.7,41,152,41,79.3,0.02,1341,13.5,48.8,94,75.3,51.3,74.2,56.6,72.7,99.3,1
35244,6,7.8,177,412,196,69.4,4.5,2190,7.8,330,476,52.1,7.5,2330,7.8,151,274,124,61.3,0.3,2350,7.7,8,90,17,76.5,0.02,2220,54.2,73.9,96.7,94.7,67.2,95.5,78.2,91.3,99.6,5
36792,0.7,7.9,168,303,148,66.2,2.5,1069,8,158,158,65.8,3,1070,7.9,92,248,74,86.5,0.4,1150,7.7,16,78,12,83.3,0,1244,41.8,53.2,88.3,82.6,68.5,90.5,74.3,91.9,100,1
40221,2,8.1,177,407,172,58.1,2.5,1379,8,231,248,54.8,4.6,1454,8,188,379,108,72.2,0.7,1529,7.5,27,95,26,76.9,0,1542,18.6,56.5,84.8,85.6,74.9,84.7,76.7,84.9,100,1
33711,2.5,8,345,457,288,59.7,7.5,1272,7.9,206.2,348,63.2,9,1336,7.9,122.34,372,146,72.6,2,1369,7.8,19,88,19,78.9,0,1437,39.08,58,77.8,83.44,76.3,94.5,80.7,93.4,100,1
47576,5.97,8.1,188.71,188,128,67.2,2,1465,8.1,206.2,158,55.7,2,1489,7.9,122.34,176,80,80,0.3,1435,7.8,19.98,59,24,73.3,0.02,1566,39.08,49.4,85,83.44,66.5,89.01,68.6,81.3,99,1
31765,2,7.9,240,887,314,76.4,7,2120,7.9,158,292,74,7.2,2200,7.9,167,511,136,75,0.7,2190,7.7,26,95,23,92.2,0.02,2170,39.08,53.4,91,84.4,81.4,89.2,89.3,92.7,100,1
35198,0.8,7.7,185,372,164,61,3,1623,7.8,210,192,64.6,3,1508,7.8,124,278,74,72.9,0.1,1482,7.9,18,78,15,66.7,0,1491,41,61.5,96.7,85.5,71.9,90.3,79,90.9,100,1
31224,0.73,7.8,231,473,222,62.2,4.5,1309,7.8,279,268,57.5,6,1368,7.9,118,299,82,78,0.2,1529,7.7,27,136,29,75.9,0.02,1523,57.7,69.4,97.5,77.1,54.5,88.3,71.2,86.9,99.6,1
37281,1.5,8.1,287,484,308,76.6,5.8,1653,8.1,392,308,75.3,5.5,1640,8.1,155,332,118,83.1,0.3,1777,7.8,22,80,16,92.5,0.05,1880,60.5,61.7,94.5,85.8,75.9,92.3,83.5,94.8,99.1,1
34669,1.2,7.8,198,381,216,51.9,3.5,1415,7.8,183,220,56.4,3.5,1453,7.7,123,246,76,78.9,0.2,1432,7.7,29,91,26,80.8,0.05,1390,32.8,65.5,94.3,76.4,63,85.4,76.1,88,98.6,1
37634,2,8.1,151,406.89,268,47.8,3.5,1732,8,160,248,59.7,3,1803,8,85,274.04,84,69,0.2,1721,8.2,12,87.29,17,77.6,0,1643,46.9,66.1,93.3,85.9,67.67,92.1,77.85,93.7,100,5
42911,0.7,7.6,114,252,116,58.6,1.2,1238,7.9,148,136,64.7,3,1208,7.7,79,216,70,82.9,0.3,1177,7.5,84,172,104,78.8,0.06,1221,46.6,48.5,91.7,83.44,20.4,26.3,31.7,10.3,95.4,3
31949,3.3,7.3,133,310,208,56.7,3.5,1134,7.5,137,168,64.3,2.5,1133,7.6,104,212,64,81.3,0.2,1143,7.6,6,90,12,83.3,0.01,1226,24.1,61.9,92,94.2,57.5,95.5,71,94.2,99.7,1
37226,1.6,6.9,233,472,242,65.3,5,1183,7.3,192,236,58.5,4.5,1165,7.3,124,357,116,65.5,1.4,1253,7.5,101,236,78,74.4,0.02,1374,35.4,50.8,68.9,18.5,33.9,56.7,50,67.8,99.6,3
45006,5.2,8,188.71,182,134,61.2,2.5,1007,8,206.2,190,50.5,3,1041,8,122.34,137,76,84.2,0.2,1106,7.8,19.98,42,11,76.4,0.01,1117,39.08,60,93.3,83.44,69.3,89.01,76.9,91.8,99.6,1
35111,0.5,7.9,228,461,126,74.6,2.5,1113,8.1,243,142,76.1,2.5,1104,8,122,279,92,78.3,0.5,1061,7.8,14,89,13,65.4,0.02,1142,49.8,35.2,80,88.5,68.1,93.9,80.7,89.7,99.2,1
34361,1.2,8.2,172,345,152,73.7,4.3,1552,8.2,286,156,74.4,3.5,1500,8.2,140,310,74,83.8,0.2,1736,7.8,16,85,14,94.3,0,1679,51,52.6,94.3,88.6,72.6,90.7,75.4,90.8,100,1
34785,1,7.5,126,397,188,67,5,1950,7.5,121,190,63.2,3.5,1760,7.6,75,190,68,72.1,0.2,1720,7.7,16,101,15,61.3,0,1570,38,64.2,95.7,78.7,46.8,87.3,74.6,92,100,1
35500,2.7,8.2,148,545,188,76.6,5.3,1329,8.2,221,230,73.9,5,1354,8.2,152,337,94,80.9,0.4,1407,7.7,14,71,11,86.4,0,1387,31.2,59.1,92,90.8,78.9,90.5,87,94.1,100,1
32799,5.9,8.4,215,440,190,69.5,4.59,1380,8.3,228,228,67.5,5.03,1408,8.1,113,213,78,76.9,0.41,1362,7.8,9,60,13,76.9,0.03,1379,50.4,65.8,90.55,92,71.8,95.8,86.4,93.2,99.08,5
37561,12.5,7.5,188.71,406.89,196,72.5,4.59,1245,7.6,370,194,75.3,5.03,1185,7.7,212,230,110,74.6,0.41,1163,7.6,15,99,14,91.4,0.03,1207,42.7,43.3,90.55,92.9,57,89.01,77.85,92.9,99.08,1
31789,2.1,7.9,215,549,234,71.8,5.5,2370,7.9,328,272,72.3,5,2410,7.9,204,428,112,78.6,1,2360,7.8,18,101,18,88.9,0,2300,37.8,58.8,80,91.2,76.4,91.6,81.6,92.3,100,1
43117,1.2,8.4,134,302,208,57.7,3.3,1160,8,159,276,60.9,3.5,1201,8,116,233,80,77.5,0.2,1264,7.9,16,66,20,80,0,1333,27,71,94.3,86.2,71.7,88.1,78.1,90.4,100,1
34492,0.4,7.9,253,354,162,76.5,3.5,1443,8,232,202,71.3,4,1455,8.2,162,287,96,81.3,0.5,1520,7.9,16,69,12,90,0.01,1689,30.2,52.5,87.5,90.1,76,93.7,80.5,92.6,99.7,1
34487,0.7,7.9,183,380,192,62.5,4.5,1339,7.8,196,216,55.6,6,1403,7.8,128,270,68,70.6,0.1,1409,8,13,63,15,66.7,0,1344,34.7,68.5,98.3,89.8,76.7,92.9,83.4,92.2,100,1
39223,1.8,8.1,151,294,186,57,4,1006,8,148,154,61,2.8,1000,7.9,94,204,90,71.1,0.2,988,7.8,9,39,11,87.3,0.02,1038,36.5,41.6,92.7,90.4,80.9,94,86.7,94.1,99.5,1
38623,1.5,8.1,243,299,180,54.4,2.5,1615,8,291,324,65.4,3.5,1630,7.9,166,265,96,60.4,0.2,1485,7.8,26,82,36,74.1,0.02,1345,43,70.4,94.3,84.3,69.1,89.3,72.6,80,99.2,1
27527,0.2,7.3,191,240,166,73.5,3,1072,7.4,130,156,75.6,2.5,1023,7.4,80,274.04,71,77.5,0.3,990,7.5,8,44,11,100,0.02,999,38.5,54.5,88,90,67.67,95.8,81.7,93.4,99.3,1
43082,0.68,7.8,173,496,178,66.3,4.5,1329,7.9,365,212,63.2,5,1303,7.9,124,304,100,78,0.4,1338,7.7,23,88,23,87,0.05,1408,66,52.8,92,81.5,71.1,86.7,82.3,87.1,98.9,1
37862,5,7.6,146,243,164,57.3,3.2,1095,7.6,193,208,55.8,3,1089,7.6,68,165,86,76.7,0.3,1095,7.7,6,59,14,82.9,0,1095,64.8,58.7,91.7,91.2,64.2,95.9,75.7,91.5,100,5
46057,1,8.1,133,288,162,56.8,2.3,1050,8.1,133,152,63.2,2.5,1116,8,97,220,70,77.1,0.2,1142,7.9,32,128,40,82.5,0.05,1187,27.1,53.9,94,67,41.8,75.9,55.6,75.3,97.8,1
38045,9.6,8.1,177,428,220,61.8,4.5,1372,8,160,244,55.7,5.3,1335,7.9,138,372,90,73.3,0.4,1340,7.7,20,104,18,88.9,0.02,1323,13.8,63.1,93.3,85.5,72,88.7,75.7,91.8,99.6,1
33649,1.44,7.5,147,351,230,47,3.5,1395,7.7,169,264,47.7,4.2,1390,7.8,99,253,86,76.7,0.3,1160,7.8,24,89,17,84.7,0.01,1068,41.4,67.4,92.9,75.8,64.8,83.7,77.85,92.6,99.7,5
33959,2,7.7,235,614,692,29.5,8,1589,7.7,242,716,31.8,9.5,1632,7.7,94,246,244,23.8,0.2,1588,7.9,16,90,52,29.2,0,1625,61.2,65.9,98.4,83,63.4,93.2,85.3,92.5,100,5
47501,1,8.2,188.71,384,180,64.4,3.5,1567,8.2,206.2,224,55.4,2.5,1512,8.1,122.34,270,110,63.6,0.3,1570,7.8,19.98,122,22,68.2,0.01,1463,39.08,50.9,88,83.44,54.8,89.01,68.2,87.8,99.7,1
44601,1.7,7.5,140,231,360,61.39,4,806,7.5,146,328,60.37,3.5,811,7.5,79,145,64,72.96,0.2,834,7.6,12,39,11,80.15,0.02,905,45.9,80.5,94.3,84.8,73.1,91.4,83.1,96.9,99.5,5
30964,3.3,7.7,220,540,184,62,3.5,1445,7.7,206.2,140,58.6,3,1414,7.6,122.34,207,86,81.4,0.2,1428,7.9,16,27,15,70.7,0.15,1337,39.08,38.6,93.3,83.44,87,92.7,95,91.8,95.7,1
30853,1.24,8,179,455,168,70.2,4.3,1410,8,179,166,69.9,3,1347,7.9,122.34,376,104,78.8,0.1,1371,7.6,24,99,22,86.4,0,1203,39.08,37.3,96.7,83.44,73.7,86.6,78.2,86.9,100,1
33178,1.4,7.6,155,392,182,64.8,4.5,1198,7.7,206.2,180,66.7,4,1264,7.8,34,356,78,79.5,0.4,1245,7.8,12,68,15,72,0.01,1248,39.08,56.7,90,64.7,80.9,92.3,82.7,91.8,99.8,1
40267,1.8,7.9,180,433,186,72,4,1729,7.9,200,174,75.9,3.7,1820,7.8,127,354,86,79.1,0.4,1856,7.5,19,110,26,82.5,0.01,1861,36.5,50.6,89.2,85,68.9,89.4,74.6,86,99.8,1
37226,2.4,7.6,132,253,200,49,2.8,2110,7.6,129,256,50,2.5,2060,7.6,106,245,94,83,0.1,1974,7.6,15,90,28,85.7,0.02,1959,17.8,63.3,96,85.8,63.3,88.6,64.4,86,99.3,5
44235,1.9,7.9,195,428,210,69.5,6.5,1835,8.2,194,250,56.8,3.5,1873,8.2,121,289,104,67.3,0.2,1855,8,15,75,22,72.7,0.01,1820,37.6,58.4,94.3,87.6,74,92.3,82.5,89.5,99.8,1
32835,1.74,7.8,159,516,248,61.3,5,1405,7.7,201,314,55.4,5,1340,7.8,127,314,104,71.2,0.4,1381,7.7,17,72,15,86.7,0.01,1390,36.8,66.9,92,86.6,77.1,89.3,86,94,99.8,1
45469,1.97,7.3,129,237,234,38.5,1.5,1190,7.4,123,228,42.1,2,1202,7.4,73,175,110,34.5,0.2,1309,7.5,7,66,19,63.2,0.02,1631,40.7,51.8,90,90.4,62.3,94.6,72.2,91.9,98.7,1
