@relation water2
@attribute At1 NUMERIC
@attribute At2 NUMERIC
@attribute At3 NUMERIC
@attribute At4 NUMERIC
@attribute At5 NUMERIC
@attribute At6 NUMERIC
@attribute At7 NUMERIC
@attribute At8 NUMERIC
@attribute At9 NUMERIC
@attribute At10 NUMERIC
@attribute At11 NUMERIC
@attribute At12 NUMERIC
@attribute At13 NUMERIC
@attribute At14 NUMERIC
@attribute At15 NUMERIC
@attribute At16 NUMERIC
@attribute At17 NUMERIC
@attribute At18 NUMERIC
@attribute At19 NUMERIC
@attribute At20 NUMERIC
@attribute At21 NUMERIC
@attribute At22 NUMERIC
@attribute At23 NUMERIC
@attribute At24 NUMERIC
@attribute At25 NUMERIC
@attribute At26 NUMERIC
@attribute At27 NUMERIC
@attribute At28 NUMERIC
@attribute At29 NUMERIC
@attribute At30 NUMERIC
@attribute At31 NUMERIC
@attribute At32 NUMERIC
@attribute At33 NUMERIC
@attribute At34 NUMERIC
@attribute At35 NUMERIC
@attribute At36 NUMERIC
@attribute At37 NUMERIC
@attribute At38 NUMERIC
@attribute Class {1,2,3,4,5}
@data
36063,1,8.2,346,350,144,72.2,5,1233,8.3,257,152,75,4,1230,8.1,174,300,86,97.7,0.6,1266,7.8,20,61,10,70,0.01,1297,32.3,43.4,85,88.5,79.7,94.2,82.6,93.1,99.8,1
36432,18.2,8.1,168,334,196,65.3,7,2230,8.1,188,188,66,4.5,2110,8.2,133,210,74,78.4,0.2,2190,7.8,20,74,20,85,0,2320,29.3,60.6,95.6,85,64.8,88.1,77.8,89.8,100,1
57629,3.7,7.3,80,204,180,32.2,1.8,940,7.4,84,198,34.3,1.5,912,7.5,45,125,74,45.9,0.3,863,7.4,10,51,10,80,0,683,46.4,62.6,80,77.8,59.2,87.5,75,94.4,100,1
27760,1.2,7.6,199,466,186,74.2,4.5,1220,7.5,225,176,81.8,4,1208,7.5,139,314,94,87.2,0.2,1315,7.4,21,122,25,84,0.02,1411,38.2,46.6,95,84.9,61.1,89.4,73.8,86.6,99.6,1
35861,0.76,8.1,242,492,176,75,5.5,1530,8.2,397,238,68.1,5,1612,8.1,148,312,88,75,0.1,1589,7.9,20,84,19,77.6,0,1566,62.7,63,98,86.5,73.1,91.7,82.9,89.2,100,1
44365,7.5,7.9,188.71,365,212,62.3,3.5,1339,7.9,206.2,184,65.2,4.7,1380,7.8,122.34,321,92,73.9,0.5,1386,7.5,19.98,75,20,75,0.05,1377,39.08,50,89.4,83.44,76.6,89.01,79.5,90.6,98.6,1
29624,1.4,7.5,184,219,148,62.2,3,1530,7.5,189,146,60.3,2,1553,7.5,92,192,78,76.9,0.3,1560,7.5,18,37,22,72.7,0.02,1100,51.3,46.6,85,80.4,80.7,90.2,83.1,85.1,99.3,1
35791,1.2,7.8,277,466,246,63.4,4,1556,7.7,206.2,288,65.3,6,1846,7.7,166,419,174,80.5,1.3,1664,7.5,24,124,26,82.7,0.03,1606,39.08,39.6,78.3,85.5,70.4,91.3,73.4,89.4,99.4,1
35876,0.5,7.9,81,448,296,61.39,4.59,1315,7.7,128,380,60.37,5.03,1355,7.8,65,319,70,72.96,0.41,1401,7.9,27,123,33,80.15,0.03,1525,49.2,81.6,90.55,58.5,61.4,66.7,72.5,88.9,99.08,1
36182,2.36,7.7,195,380,216,66.7,4.5,1542,7.8,170,240,66.7,3.5,1311,7.8,119,238,82,80.5,0.2,1443,7.9,37,100,18,88.9,0.05,1365,30,65.8,94.3,68.9,58,81,73.7,91.7,98.9,1
