@relation glass
@attribute At1 NUMERIC
@attribute At2 NUMERIC
@attribute At3 NUMERIC
@attribute At4 NUMERIC
@attribute At5 NUMERIC
@attribute At6 NUMERIC
@attribute At7 NUMERIC
@attribute At8 NUMERIC
@attribute At9 NUMERIC
@attribute Class {1,2,3,4,5,6,7}
@data
1.51652,13.56,3.57,1.47,72.45,0.64,7.96,0,0,2
1.51645,14.94,0,1.87,73.11,0,8.67,1.38,0,7
1.51645,13.44,3.61,1.54,72.39,0.66,8.03,0,0,2
1.51115,17.38,0,0.34,75.41,0,6.65,0,0,6
1.52101,13.64,4.49,1.1,71.78,0.06,8.75,0,0,1
1.51753,12.57,3.47,1.38,73.39,0.6,8.55,0,0.06,1
1.51593,13.25,3.45,1.43,73.17,0.61,7.86,0,0,2
1.51789,13.19,3.9,1.3,72.33,0.55,8.44,0,0.28,2
1.51646,13.41,3.55,1.25,72.81,0.68,8.1,0,0,2
1.5202,13.98,1.35,1.63,71.76,0.39,10.56,0,0.18,2
1.51594,13.09,3.52,1.55,72.87,0.68,8.05,0,0.09,2
1.52369,13.44,0,1.58,72.22,0.32,12.24,0,0,5
1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0,0,1
1.51755,12.71,3.42,1.2,73.2,0.59,8.64,0,0,1
1.51589,12.88,3.43,1.4,73.28,0.69,8.05,0,0.24,1
1.51966,14.77,3.75,0.29,72.02,0.03,9,0,0,1
1.51708,13.72,3.68,1.81,72.06,0.64,7.88,0,0,2
1.5182,12.62,2.76,0.83,73.81,0.35,9.42,0,0.2,2
1.5161,13.42,3.4,1.22,72.69,0.59,8.32,0,0,3
1.52315,13.44,3.34,1.23,72.38,0.6,8.83,0,0,7
1.51911,13.9,3.73,1.18,72.12,0.06,8.89,0,0,1
1.5166,12.99,3.18,1.23,72.97,0.58,8.81,0,0.24,2
