@relation glass
@attribute At1 NUMERIC
@attribute At2 NUMERIC
@attribute At3 NUMERIC
@attribute At4 NUMERIC
@attribute At5 NUMERIC
@attribute At6 NUMERIC
@attribute At7 NUMERIC
@attribute At8 NUMERIC
@attribute At9 NUMERIC
@attribute Class {1,2,3,4,5,6,7}
@data
1.51748,12.86,3.56,1.27,73.21,0.54,8.38,0,0.17,1
1.51768,12.65,3.56,1.3,73.08,0.61,8.69,0,0.14,1
1.52177,13.2,3.68,1.15,72.75,0.54,8.52,0,0,2
1.52725,13.8,3.15,0.66,70.57,0.08,11.64,0,0,2
1.51905,14,2.39,1.56,72.37,0,9.57,0,0,6
1.51869,13.19,3.37,1.18,72.72,0.57,8.83,0,0.16,1
1.51839,12.85,3.67,1.24,72.57,0.62,8.68,0,0.35,2
1.51934,13.64,3.54,0.75,72.65,0.16,8.89,0.15,0.24,3
1.51769,12.45,2.71,1.29,73.7,0.56,9.06,0,0.24,1
1.51215,12.99,3.47,1.12,72.98,0.62,8.35,0,0.31,1
1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0,0,1
1.51574,14.86,3.67,1.74,71.87,0.16,7.36,0,0.12,2
1.51778,13.21,2.81,1.29,72.98,0.51,9.02,0,0.09,1
1.51994,13.27,0,1.76,73.03,0.47,11.32,0,0,5
1.51916,14.15,0,2.09,72.74,0,10.88,0,0,6
1.51761,13.89,3.6,1.36,72.73,0.48,7.83,0,0,1
1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0,0,1
1.51779,13.64,3.65,0.65,73,0.06,8.93,0,0,3
1.519,13.49,3.48,1.35,71.95,0.55,9,0,0,1
1.51775,12.85,3.48,1.23,72.97,0.61,8.56,0.09,0.22,1
1.51131,13.69,3.2,1.81,72.81,1.76,5.43,1.19,0,7
1.51592,12.86,3.52,2.12,72.66,0.69,7.97,0,0,2
