@relation glass
@attribute At1 NUMERIC
@attribute At2 NUMERIC
@attribute At3 NUMERIC
@attribute At4 NUMERIC
@attribute At5 NUMERIC
@attribute At6 NUMERIC
@attribute At7 NUMERIC
@attribute At8 NUMERIC
@attribute At9 NUMERIC
@attribute Class {1,2,3,4,5,6,7}
@data
1.51508,15.15,0,2.25,73.5,0,8.34,0.63,0,7
1.52099,13.69,3.59,1.12,71.96,0.09,9.4,0,0,1
1.51852,14.09,2.19,1.66,72.67,0,9.32,0,0,6
1.52068,13.55,2.09,1.67,72.18,0.53,9.57,0.27,0.17,2
1.51674,12.87,3.56,1.64,73.14,0.65,7.99,0,0,2
1.51898,13.58,3.35,1.23,72.08,0.59,8.91,0,0,1
1.52151,11.03,1.71,1.56,73.44,0.58,11.62,0,0,5
1.52152,13.05,3.65,0.87,72.22,0.19,9.85,0,0.17,1
1.52177,13.75,1.01,1.36,72.19,0.33,11.14,0,0,2
1.52172,13.51,3.86,0.88,71.79,0.23,9.54,0,0.11,1
1.51571,12.72,3.46,1.56,73.2,0.67,8.09,0,0.24,1
1.52739,11.02,0,0.75,73.08,0,14.96,0,0,2
1.51721,12.87,3.48,1.33,73.04,0.56,8.43,0,0,1
1.51653,11.95,0,1.19,75.18,2.7,8.93,0,0,7
1.51617,14.95,0,2.27,73.3,0,8.71,0.67,0,7
1.51811,12.96,2.96,1.43,72.92,0.6,8.79,0.14,0,2
1.51514,14.01,2.68,3.5,69.89,1.68,5.87,2.2,0,5
1.51915,12.73,1.85,1.86,72.69,0.6,10.09,0,0,5
1.51673,13.3,3.64,1.53,72.53,0.65,8.03,0,0.29,2
1.5167,13.24,3.57,1.38,72.7,0.56,8.44,0,0.1,3
1.51761,12.81,3.54,1.23,73.24,0.58,8.39,0,0,1
