@relation glass
@attribute At1 NUMERIC
@attribute At2 NUMERIC
@attribute At3 NUMERIC
@attribute At4 NUMERIC
@attribute At5 NUMERIC
@attribute At6 NUMERIC
@attribute At7 NUMERIC
@attribute At8 NUMERIC
@attribute At9 NUMERIC
@attribute Class {1,2,3,4,5,6,7}
@data
1.52223,13.21,3.77,0.79,71.99,0.13,10.02,0,0,1
1.51655,12.75,2.85,1.44,73.27,0.57,8.79,0.11,0.22,2
1.52127,14.32,3.9,0.83,71.5,0,9.49,0,0,3
1.51667,12.94,3.61,1.26,72.75,0.56,8.6,0,0,2
1.52777,12.64,0,0.67,72.02,0.06,14.4,0,0,2
1.51851,13.2,3.63,1.07,72.83,0.57,8.41,0.09,0.17,2
1.5221,13.73,3.84,0.72,71.76,0.17,9.74,0,0,1
1.52247,14.86,2.2,2.06,70.26,0.76,9.76,0,0,7
1.51707,13.48,3.48,1.71,72.52,0.62,7.99,0,0,2
1.5161,13.33,3.53,1.34,72.67,0.56,8.33,0,0,3
1.52065,14.36,0,2.02,73.42,0,8.44,1.64,0,7
1.51918,14.04,3.58,1.37,72.08,0.56,8.3,0,0,1
1.51841,13.02,3.62,1.06,72.34,0.64,9.13,0,0.15,2
1.51847,13.1,3.97,1.19,72.44,0.6,8.43,0,0,2
1.51829,14.46,2.24,1.62,72.38,0,9.26,0,0,6
1.52043,13.38,0,1.4,72.25,0.33,12.5,0,0,5
1.51796,13.5,3.36,1.63,71.94,0.57,8.81,0,0.09,3
1.52121,14.03,3.76,0.58,71.79,0.11,9.65,0,0,3
1.52172,13.48,3.74,0.9,72.01,0.18,9.61,0,0.07,1
1.51711,12.89,3.62,1.57,72.96,0.61,8.11,0,0,2
1.5186,13.36,3.43,1.43,72.26,0.51,8.6,0,0,2
1.51321,13,0,3.02,70.7,6.21,6.93,0,0,5
