@relation glass
@attribute At1 NUMERIC
@attribute At2 NUMERIC
@attribute At3 NUMERIC
@attribute At4 NUMERIC
@attribute At5 NUMERIC
@attribute At6 NUMERIC
@attribute At7 NUMERIC
@attribute At8 NUMERIC
@attribute At9 NUMERIC
@attribute Class {1,2,3,4,5,6,7}
@data
1.51797,12.74,3.48,1.35,72.96,0.64,8.68,0,0,1
1.51846,13.41,3.89,1.33,72.38,0.51,8.28,0,0,2
1.51409,14.25,3.09,2.08,72.28,1.1,7.08,0,0,2
1.51316,13.02,0,3.04,70.48,6.21,6.96,0,0,5
1.51658,14.8,0,1.99,73.11,0,8.28,1.71,0,7
1.52196,14.36,3.85,0.89,71.36,0.15,9.15,0,0,1
1.51783,12.69,3.54,1.34,72.95,0.57,8.75,0,0,1
1.51751,12.81,3.57,1.35,73.02,0.62,8.59,0,0,1
1.51655,13.41,3.39,1.28,72.64,0.52,8.65,0,0,3
1.51784,12.68,3.67,1.16,73.11,0.61,8.7,0,0,1
1.52152,13.05,3.65,0.87,72.32,0.19,9.85,0,0.17,1
1.5173,12.35,2.72,1.63,72.87,0.7,9.23,0,0,2
1.51662,12.85,3.51,1.44,73.01,0.68,8.23,0.06,0.25,2
1.51937,13.79,2.41,1.19,72.76,0,9.77,0,0,6
1.5159,13.24,3.34,1.47,73.1,0.39,8.22,0,0,2
1.51811,13.33,3.85,1.25,72.78,0.52,8.12,0,0,2
1.51786,12.73,3.43,1.19,72.95,0.62,8.76,0,0.3,1
1.51742,13.27,3.62,1.24,73.08,0.55,8.07,0,0,1
1.51829,13.24,3.9,1.41,72.33,0.55,8.31,0,0.1,2
1.51629,12.71,3.33,1.49,73.28,0.67,8.24,0,0,2
1.51627,13,3.58,1.54,72.83,0.61,8.04,0,0,2
