@relation glass
@attribute At1 NUMERIC
@attribute At2 NUMERIC
@attribute At3 NUMERIC
@attribute At4 NUMERIC
@attribute At5 NUMERIC
@attribute At6 NUMERIC
@attribute At7 NUMERIC
@attribute At8 NUMERIC
@attribute At9 NUMERIC
@attribute Class {1,2,3,4,5,6,7}
@data
1.52222,14.43,0,1,72.67,0.1,11.52,0,0.08,2
1.51763,12.61,3.59,1.31,73.29,0.58,8.5,0,0,1
1.5169,13.33,3.54,1.61,72.54,0.68,8.11,0,0,2
1.5164,12.55,3.48,1.87,73.23,0.63,8.08,0,0.09,2
1.52664,11.23,0,0.77,73.21,0,14.68,0,0,2
1.51909,13.89,3.53,1.32,71.81,0.51,8.78,0.11,0,1
1.52211,14.19,3.78,0.91,71.36,0.23,9.14,0,0.37,3
1.51813,13.43,3.98,1.18,72.49,0.58,8.15,0,0,2
1.51735,13.02,3.54,1.69,72.73,0.54,8.44,0,0.07,1
1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0,0.26,1
1.51719,14.75,0,2,73.02,0,8.53,1.59,0.08,7
1.51613,13.92,3.52,1.25,72.88,0.37,7.94,0,0.14,2
1.51844,13.25,3.76,1.32,72.4,0.58,8.42,0,0,2
1.52081,13.78,2.28,1.43,71.99,0.49,9.85,0,0.17,2
1.51689,12.67,2.88,1.71,73.21,0.73,8.54,0,0,2
1.5172,13.38,3.5,1.15,72.85,0.5,8.43,0,0,1
1.5241,13.83,2.9,1.17,71.15,0.08,10.79,0,0,2
1.51646,13.04,3.4,1.26,73.01,0.52,8.58,0,0,3
1.51831,14.39,0,1.82,72.86,1.41,6.47,2.88,0,7
1.51977,13.81,3.58,1.32,71.72,0.12,8.67,0.69,0,1
1.51763,12.8,3.66,1.27,73.01,0.6,8.56,0,0,1
