@relation glass
@attribute At1 NUMERIC
@attribute At2 NUMERIC
@attribute At3 NUMERIC
@attribute At4 NUMERIC
@attribute At5 NUMERIC
@attribute At6 NUMERIC
@attribute At7 NUMERIC
@attribute At8 NUMERIC
@attribute At9 NUMERIC
@attribute Class {1,2,3,4,5,6,7}
@data
1.51892,13.46,3.83,1.26,72.55,0.57,8.21,0,0.14,2
1.51743,13.3,3.6,1.14,73.09,0.58,8.17,0,0,1
1.5159,13.02,3.58,1.51,73.12,0.69,7.96,0,0,2
1.5232,13.72,3.72,0.51,71.75,0.09,10.06,0,0.16,1
1.51623,14.2,0,2.79,73.46,0.04,9.04,0.4,0.09,7
1.51623,14.14,0,2.88,72.61,0.08,9.18,1.06,0,7
1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0,0,3
1.51754,13.48,3.74,1.17,72.99,0.59,8.03,0,0,1
1.51838,14.32,3.26,2.22,71.25,1.46,5.79,1.63,0,7
1.5159,12.82,3.52,1.9,72.86,0.69,7.97,0,0,2
1.51545,14.14,0,2.68,73.39,0.08,9.07,0.61,0.05,7
1.51687,13.23,3.54,1.48,72.84,0.56,8.1,0,0,2
1.51848,13.64,3.87,1.27,71.96,0.54,8.32,0,0.32,2
1.52475,11.45,0,1.88,72.19,0.81,13.24,0,0.34,2
1.51645,13.4,3.49,1.52,72.65,0.67,8.08,0,0.1,2
1.51674,12.79,3.52,1.54,73.36,0.66,7.9,0,0,2
1.51609,15.01,0,2.51,73.05,0.05,8.83,0.53,0,7
1.52614,13.7,0,1.36,71.24,0.19,13.44,0,0.1,2
1.51618,13.01,3.5,1.48,72.89,0.6,8.12,0,0,2
1.51531,14.38,0,2.66,73.1,0.04,9.08,0.64,0,7
1.53393,12.3,0,1,70.16,0.12,16.19,0,0.24,2
