@relation glass
@attribute At1 NUMERIC
@attribute At2 NUMERIC
@attribute At3 NUMERIC
@attribute At4 NUMERIC
@attribute At5 NUMERIC
@attribute At6 NUMERIC
@attribute At7 NUMERIC
@attribute At8 NUMERIC
@attribute At9 NUMERIC
@attribute Class {1,2,3,4,5,6,7}
@data
1.51808,13.43,2.87,1.19,72.84,0.55,9.03,0,0,1
1.51709,13,3.47,1.79,72.72,0.66,8.18,0,0,2
1.5164,14.37,0,2.74,72.85,0,9.45,0.54,0,7
1.51625,13.36,3.58,1.49,72.72,0.45,8.21,0,0,2
1.518,13.71,3.93,1.54,71.81,0.54,8.21,0,0.15,2
1.51793,12.79,3.5,1.12,73.03,0.64,8.77,0,0,1
1.51593,13.09,3.59,1.52,73.1,0.67,7.83,0,0,2
1.51685,14.92,0,1.99,73.06,0,8.4,1.59,0,7
1.51711,14.23,0,2.08,73.36,0,8.62,1.67,0,7
1.523,13.31,3.58,0.82,71.99,0.12,10.17,0,0.03,1
1.51631,13.34,3.57,1.57,72.87,0.61,7.89,0,0,2
1.51596,13.02,3.56,1.54,73.11,0.72,7.9,0,0,2
1.51818,13.72,0,0.56,74.45,0,10.99,0,0,2
1.53125,10.73,0,2.1,69.81,0.58,13.3,3.15,0.28,2
1.51969,12.64,0,1.65,73.75,0.38,11.53,0,0,5
1.51694,12.86,3.58,1.31,72.61,0.61,8.79,0,0,3
1.5175,12.82,3.55,1.49,72.75,0.54,8.52,0,0.19,1
1.52227,14.17,3.81,0.78,71.35,0,9.69,0,0,1
1.51841,12.93,3.74,1.11,72.28,0.64,8.96,0,0.22,2
1.51969,14.56,0,0.56,73.48,0,11.22,0,0,6
1.51567,13.29,3.45,1.21,72.74,0.56,8.57,0,0,1
1.51754,13.39,3.66,1.19,72.79,0.57,8.27,0,0.11,1
