@relation glass
@attribute At1 NUMERIC
@attribute At2 NUMERIC
@attribute At3 NUMERIC
@attribute At4 NUMERIC
@attribute At5 NUMERIC
@attribute At6 NUMERIC
@attribute At7 NUMERIC
@attribute At8 NUMERIC
@attribute At9 NUMERIC
@attribute Class {1,2,3,4,5,6,7}
@data
1.51569,13.24,3.49,1.47,73.25,0.38,8.03,0,0,2
1.51756,13.15,3.61,1.05,73.24,0.57,8.24,0,0,1
1.51732,14.95,0,1.8,72.99,0,8.61,1.55,0,7
1.51683,14.56,0,1.98,73.29,0,8.52,1.57,0.07,7
1.51613,13.88,1.78,1.79,73.1,0,8.67,0.76,0,7
1.51764,12.98,3.54,1.21,73,0.65,8.53,0,0,1
1.52152,13.12,3.58,0.9,72.2,0.23,9.82,0,0.16,1
1.51768,12.56,3.52,1.43,73.15,0.57,8.54,0,0,1
1.51806,13,3.8,1.08,73.07,0.56,8.38,0,0.12,2
1.51736,12.78,3.62,1.29,72.79,0.59,8.7,0,0,1
1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0,0,1
1.51769,13.65,3.66,1.11,72.77,0.11,8.6,0,0,3
1.51832,13.33,3.34,1.54,72.14,0.56,8.99,0,0,3
1.51588,13.12,3.41,1.58,73.26,0.07,8.39,0,0.19,2
1.51727,14.7,0,2.34,73.28,0,8.95,0.66,0,7
1.51755,13,3.6,1.36,72.99,0.57,8.4,0,0.11,1
1.51299,14.4,1.74,1.54,74.55,0,7.59,0,0,6
1.51926,13.2,3.33,1.28,72.36,0.6,9.14,0,0.11,1
1.52667,13.99,3.7,0.71,71.57,0.02,9.82,0,0.1,1
1.51666,12.86,0,1.83,73.88,0.97,10.17,0,0,5
1.51872,12.93,3.66,1.56,72.51,0.58,8.55,0,0.12,2
